location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft
Chandapura,4 Bedroom,4800.0,4.0,3.0,304878.0487804878,4,6351626.016260162
Sarjapur  Road,2 BHK,1000.0,2.0,1.0,46951.21951219512,2,4695121.951219512
Ramamurthy Nagar,3 Bedroom,800.0,4.0,0.0,107317.0731707317,3,13414634.146341462
Thanisandra,2 BHK,1250.0,1.0,1.0,65853.65853658537,2,5268292.68292683
3rd Block Koramangala,3 BHK,1750.0,3.0,3.0,207317.07317073172,3,11846689.895470385
Anekal,3 BHK,997.0,3.0,2.0,67073.17073170732,3,6727499.57188639
Yelahanka,2 BHK,1322.0,2.0,2.0,91463.41463414633,2,6918563.890631341
Kanaka Nagar,3 Bedroom,1365.0,3.0,0.0,120731.70731707317,3,8844813.722862504
Sahakara Nagar,3 BHK,1500.0,3.0,2.0,152439.0243902439,3,10162601.62601626
Kaggadasapura,3 BHK,1256.0,2.0,2.0,60975.60975609756,3,4854745.999689297
Brookefield,2 BHK,941.0,2.0,2.0,58536.58536585366,2,6220678.572354268
Devanahalli,4 Bedroom,5000.0,4.0,3.0,567073.1707317074,4,11341463.414634148
Kanakpura Road,3 BHK,1665.0,3.0,2.0,105585.36585365854,3,6341463.414634147
Chikkalasandra,3 BHK,1270.0,2.0,3.0,67378.0487804878,3,5305358.171691953
Madiwala,3 Bedroom,800.0,2.0,2.0,97560.9756097561,3,12195121.951219514
Kengeri Satellite Town,4 Bedroom,4100.0,3.0,0.0,365853.65853658534,4,8923259.964306958
Pattanagere,2 BHK,850.0,2.0,0.0,42682.92682926829,2,5021520.8034433285
Kanakpura Road,1 BHK,712.0,1.0,1.0,46878.04878048781,1,6583995.615237052
Rajaji Nagar,4 BHK,2648.0,5.0,0.0,306707.31707317074,4,11582602.608503427
Basaveshwara Nagar Yelahanka,3 Bedroom,900.0,4.0,2.0,219512.19512195123,3,24390243.902439024
TC Palaya,2 Bedroom,900.0,2.0,0.0,67073.17073170732,2,7452574.525745258
Hebbal,2 BHK,1200.0,2.0,1.0,59756.09756097561,2,4979674.796747968
Kengeri Satellite Town,1 BHK,654.0,1.0,1.0,26829.268292682926,1,4102334.601327664
Peenya,2 BHK,708.0,1.0,1.0,67073.17073170732,2,9473611.685269395
Singapura Village,4 Bedroom,600.0,5.0,3.0,91463.41463414633,4,15243902.439024389
Wilson Garden,3 BHK,1680.0,3.0,3.0,164634.1463414634,3,9799651.567944251
Jakkasandra Extension,2 BHK,990.0,2.0,2.0,70731.70731707317,2,7144616.900714462
Uttarahalli,2 BHK,1380.0,2.0,1.0,51219.51219512195,2,3711558.854718982
Hebbal,2 BHK,1088.0,2.0,2.0,75609.75609756098,2,6949426.111908178
Harlur,3 BHK,1414.0,3.0,2.0,94512.19512195123,3,6684030.772415221
Seshadripuram,2 BHK,1240.0,2.0,1.0,121951.21951219512,2,9834775.76711251
Ganesha Block,3 BHK,1810.0,3.0,3.0,143902.43902439025,3,7950410.995822665
4th Block Jayanagar,3 BHK,2005.0,3.0,2.0,292682.9268292683,3,14597652.210936073
Kothanur,2 BHK,1185.0,2.0,2.0,70731.70731707317,2,5968920.448698158
Whitefield,3 Bedroom,1200.0,3.0,2.0,69695.12195121951,3,5807926.8292682925
Electronic City,2 BHK,1070.0,2.0,1.0,63414.634146341465,2,5926601.322087987
Shikaripalya,2 BHK,1265.0,2.0,1.0,70731.70731707317,2,5591439.313602623
Sahakara Nagar,2 BHK,1100.0,2.0,1.0,67073.17073170732,2,6097560.975609756
Friends Colony,2 BHK,1035.0,2.0,2.0,53658.53658536585,2,5184399.670083657
Sonnenahalli,1 BHK,614.5,1.0,0.0,37457.31707317073,1,6095576.415487506
2nd Block Jayanagar,2 BHK,1000.0,2.0,1.0,118292.68292682926,2,11829268.292682927
Hegde Nagar,2 BHK,1179.0,2.0,2.0,60182.92682926829,2,5104573.946502824
Vittasandra,3 BHK,1650.0,3.0,1.0,102439.0243902439,3,6208425.720620842
Malur Hosur Road,6 Bedroom,2800.0,4.0,3.0,121951.21951219512,6,4355400.696864111
Lakshmipura Vidyaanyapura,8 Bedroom,3500.0,6.0,2.0,146341.46341463414,8,4181184.6689895466
Nagaraja Garden,3 BHK,1430.0,3.0,1.0,95914.63414634147,3,6707317.073170733
Marathahalli,3 BHK,1130.0,2.0,2.0,70731.70731707317,3,6259443.125404705
Hennur,3 BHK,1340.0,3.0,2.0,66146.34146341463,3,4936294.139060793
Nagawara Junction,2 Bedroom,600.0,2.0,0.0,36585.365853658535,2,6097560.975609755
Banashankari,3 BHK,2582.0,5.0,2.0,304878.0487804878,3,11807825.281970868
Channasandra,2 BHK,1160.0,2.0,1.0,67073.17073170732,2,5782169.890664424
Hegganahalli,1 Bedroom,1200.0,2.0,1.0,54878.04878048781,1,4573170.731707317
Rajanna Layout,2 BHK,1116.0,2.0,1.0,45853.65853658537,2,4108750.7649270045
Nagarbhavi  BDA Complex,3 Bedroom,600.0,2.0,1.0,103658.53658536586,3,17276422.764227644
Sarakki Nagar,3 BHK,2663.0,4.0,1.0,412195.1219512195,3,15478600.148374746
Devasthanagalu,2 BHK,1090.0,2.0,2.0,54878.04878048781,2,5034683.37435668
JP Nagar,2 BHK,1100.0,2.0,1.0,54878.04878048781,2,4988913.525498891
Kammasandra,3 BHK,1365.0,2.0,1.0,41621.9512195122,3,3049227.1955686593
Vijayanagar,3 BHK,1484.0,3.0,2.0,96573.17073170732,3,6507626.060088094
Green Glen Layout,3 BHK,1630.0,3.0,2.0,82926.82926829268,3,5087535.537932066
Whitefield,3 BHK,1451.0,2.0,2.0,63939.0243902439,3,4406548.889748029
Kanakpura Road,2 BHK,1330.0,2.0,1.0,130487.80487804877,2,9811113.148725472
Thanisandra,3 BHK,2127.0,3.0,2.0,164634.1463414634,3,7740204.341394613
Adityanagar,5 Bedroom,875.0,5.0,3.0,146341.46341463414,5,16724738.675958186
Hallehalli,4 Bedroom,1260.0,4.0,2.0,79268.29268292683,4,6291134.339914828
Sarjapur  Road,3 BHK,1173.0,2.0,2.0,55792.68292682927,3,4756409.456677687
Electronics City Phase 1,3 BHK,1445.0,2.0,1.0,68292.68292682926,3,4726137.226770191
Jayamahal Extension,4 BHK,2250.0,4.0,1.0,487804.8780487805,4,21680216.802168023
Bannerghatta Road,3 Bedroom,1500.0,4.0,2.0,291463.4146341463,3,19430894.30894309
Thanisandra,3 BHK,2336.5,3.0,0.0,141329.26829268291,3,6048759.610215404
JP Nagar,2 BHK,1197.0,2.0,1.0,58390.243902439026,2,4878048.780487805
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,1.0,274390.243902439,4,22865853.658536583
Kanakpura Road,3 BHK,1450.0,3.0,3.0,76097.56097560975,3,5248107.653490327
Whitefield,2 BHK,1187.0,2.0,1.0,46158.53658536585,2,3888671.995397291
Wilson Garden,6 Bedroom,4000.0,6.0,3.0,1036585.3658536585,6,25914634.146341465
Channasandra,2 BHK,1050.0,2.0,2.0,50000.0,2,4761904.761904762
Panathur,3 BHK,1370.0,2.0,2.0,66829.26829268293,3,4878048.780487806
Yelahanka,2 BHK,1036.0,2.0,2.0,48012.19512195121,2,4634381.7685281085
JP Nagar,3 BHK,1275.0,3.0,2.0,50243.902439024394,3,3940698.230511717
Old Madras Road,4 BHK,2010.0,3.0,2.0,140243.9024390244,4,6977308.57905594
Thigalarapalya,2 BHK,1418.0,2.0,2.0,129268.29268292683,2,9116240.668753656
Thanisandra,2 BHK,1265.0,2.0,2.0,56829.26829268293,2,4492432.276101418
Anandapura,3 BHK,1576.0,3.0,2.0,70731.70731707317,3,4488052.494738146
Dodda Nekkundi,2 BHK,1148.0,2.0,1.0,68292.68292682926,2,5948839.976204639
Green View Layout,2 BHK,1000.0,2.0,1.0,43902.439024390245,2,4390243.902439025
Kudlu,3 BHK,1293.0,2.0,2.0,103658.53658536586,3,8016901.514722805
TC Palaya,3 Bedroom,1200.0,2.0,0.0,80487.80487804877,3,6707317.073170731
Munnekollal,2 BHK,1210.0,2.0,3.0,91463.41463414633,2,7558959.887119532
HSR Layout,2 BHK,1126.0,2.0,1.0,84146.34146341463,2,7473032.101546592
Sarakki Nagar,3 BHK,1840.0,4.0,1.0,213414.63414634147,3,11598621.420996819
Vidyaranyapura,3 BHK,1440.0,2.0,0.0,85365.85365853658,3,5928184.281842818
Ramamurthy Nagar,3 BHK,1300.0,2.0,2.0,63414.634146341465,3,4878048.780487806
Thanisandra,2 BHK,1276.0,2.0,2.0,91463.41463414633,2,7167979.203303004
Gidada Konnenahalli,6 Bedroom,600.0,4.0,2.0,128048.78048780488,6,21341463.414634146
Whitefield,2 BHK,1216.0,2.0,1.0,101219.51219512195,2,8323973.042362003
Marenahalli,1 BHK,840.0,1.0,0.0,91463.41463414633,1,10888501.742160277
Sector 1 HSR Layout,5 Bedroom,1240.0,5.0,3.0,365853.65853658534,5,29504327.301337525
Sompura,2 BHK,1126.0,2.0,2.0,47560.9756097561,2,4223887.709569814
Mysore Road,1 Bedroom,45.0,1.0,0.0,28048.780487804877,1,62330623.306233056
Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,0.0,79268.29268292683,2,6821711.934847403
Whitefield,2 BHK,1301.0,2.0,2.0,79268.29268292683,2,6092874.149341032
Devanahalli,1 BHK,658.0,1.0,1.0,41463.41463414634,1,6301430.79546297
Sahakara Nagar,3 Bedroom,1350.0,3.0,1.0,304878.0487804878,3,22583559.16892502
Whitefield,3 BHK,2500.0,3.0,2.0,341463.4146341463,3,13658536.585365852
Chandapura,3 BHK,1208.51,3.0,2.0,51219.51219512195,3,4238236.522256494
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,2.0,46841.46341463414,2,4134286.2678406127
Shettigere,3 BHK,1760.0,2.0,1.0,141463.41463414635,3,8037694.01330377
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,63414.634146341465,3,5899035.734543392
Sarjapur,2 BHK,940.0,2.0,1.0,30951.219512195123,2,3292682.9268292687
Badavala Nagar,2 BHK,1145.0,2.0,2.0,69512.19512195123,2,6070934.071786134
Bannerghatta Road,2 BHK,1302.5,2.0,0.0,82597.56097560975,2,6341463.414634146
Rahat Bagh,4 Bedroom,3900.0,5.0,1.0,670731.7073170731,4,17198248.905565977
Omarbagh Layout,4 BHK,3317.5,5.0,0.0,327439.0243902439,4,9870053.485764699
Dasarahalli,2 BHK,1300.0,2.0,2.0,60975.60975609756,2,4690431.519699813
Malleshwaram,3 BHK,2475.0,4.0,3.0,397560.9756097561,3,16063069.721606307
Hosakerehalli,1 Bedroom,1200.0,1.0,0.0,182926.82926829267,1,15243902.439024389
Jigani,4 Bedroom,2420.0,4.0,1.0,231707.31707317074,4,9574682.523684742
Thubarahalli,2 BHK,1216.0,2.0,1.0,97560.9756097561,2,8023106.546854943
Tumkur Road,3 BHK,1459.0,2.0,1.0,134146.34146341463,3,9194403.1160668
Jakkur,3 BHK,1622.0,2.0,0.0,97560.9756097561,3,6014856.6960392175
Kanakpura Road,3 BHK,1843.0,3.0,2.0,103658.53658536586,3,5624445.8266611975
Badavala Nagar,2 BHK,1274.0,2.0,1.0,98780.48780487805,2,7753570.471340505
Chikkasandra,2 Bedroom,600.0,1.0,1.0,63414.634146341465,2,10569105.69105691
Malleshpalya,3 BHK,1430.0,2.0,1.0,84756.09756097561,3,5926999.829438854
Kammanahalli,4 Bedroom,1800.0,2.0,0.0,341463.4146341463,4,18970189.701897018
Begur Road,3 BHK,1565.0,2.0,2.0,70621.9512195122,3,4512584.742460843
 Devarabeesana Halli,3 BHK,1670.0,3.0,2.0,195121.9512195122,3,11683949.17482109
Lakshminarayana Pura,3 BHK,1695.0,3.0,2.0,182926.82926829267,3,10792143.319663284
Akshayanagara West,2 BHK,1410.0,2.0,2.0,91463.41463414633,2,6486766.995329527
Kengeri Satellite Town,2 BHK,1060.0,2.0,3.0,51219.51219512195,2,4832029.4523699945
Sarjapur  Road,2 BHK,1120.0,2.0,2.0,60975.60975609756,2,5444250.87108014
Hosa Road,2 Bedroom,880.0,2.0,0.0,60975.60975609756,2,6929046.563192905
Jalahalli,2 BHK,1083.0,2.0,1.0,39621.95121951219,2,3658536.5853658537
Dodda Nekkundi,3 BHK,1435.0,3.0,3.0,69756.09756097561,3,4861052.094841505
Doddakallasandra,3 BHK,1425.0,2.0,2.0,69500.0,3,4877192.98245614
Arekere,2 BHK,900.0,2.0,3.0,60975.60975609756,2,6775067.750677507
Escorts Colony,5 BHK,2400.0,5.0,2.0,113414.63414634146,5,4725609.756097561
Thanisandra,1 BHK,693.0,1.0,1.0,41829.26829268292,1,6035969.450603597
Kengeri,3 Bedroom,600.0,3.0,1.0,109756.09756097561,3,18292682.926829267
Electronic City,4 BHK,2435.0,4.0,3.0,145121.9512195122,4,5959833.725647319
Iblur Village,3 BHK,1920.0,3.0,2.0,182926.82926829267,3,9527439.024390243
Electronic City,1 BHK,630.0,1.0,1.0,57317.07317073171,1,9097948.122338366
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,60975.60975609756,3,5672149.744753262
Hulimavu,5 Bedroom,1200.0,5.0,0.0,123170.73170731707,5,10264227.642276423
Nagavarapalya,1 BHK,705.0,1.0,1.0,67073.17073170732,1,9513924.926483307
Srinivasa Nagar,3 BHK,1200.0,2.0,2.0,92195.1219512195,3,7682926.829268292
Mahadevpura,2 BHK,1532.0,2.0,2.0,75609.75609756098,2,4935362.669553589
Rajiv Nagar,2 BHK,1330.0,2.0,1.0,113414.63414634146,2,8527416.10122868
3rd Block Hrbr Layout,4 Bedroom,1200.0,3.0,1.0,256097.56097560975,4,21341463.414634146
Sarjapur  Road,3 BHK,1530.0,2.0,2.0,73170.73170731707,3,4782400.765184122
Kasavanhalli,2 BHK,1105.0,2.0,2.0,51219.51219512195,2,4635249.972409226
1st Phase JP Nagar,2 Bedroom,1566.0,2.0,0.0,219512.19512195123,2,14017381.553125875
Harlur,3 BHK,1630.0,3.0,1.0,115975.60975609756,3,7115068.08319617
5th Phase JP Nagar,2 BHK,1256.0,2.0,1.0,76585.36585365854,2,6097560.975609757
Banashankari,6 BHK,1200.0,6.0,2.0,219512.19512195123,6,18292682.926829267
Brookefield,3 BHK,1595.0,2.0,3.0,91463.41463414633,3,5734383.362642403
7th Phase JP Nagar,2 BHK,1000.0,2.0,2.0,64634.14634146341,2,6463414.634146341
Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,71939.0243902439,3,4877221.992558908
"asha township, off hennur road",5 Bedroom,2400.0,5.0,3.0,347560.9756097561,5,14481707.31707317
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,35219.51219512195,2,3521951.219512195
1A Block Koramangala,4 Bedroom,2360.0,4.0,1.0,792682.9268292683,4,33588259.61140968
Uttarahalli,3 BHK,1737.0,2.0,3.0,115853.65853658537,3,6669755.816729152
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,35219.51219512195,2,3521951.219512195
Near International Airport,4 BHK,2100.0,4.0,2.0,182926.82926829267,4,8710801.39372822
Hosakerehalli,8 Bedroom,3600.0,6.0,1.0,176829.26829268291,8,4911924.119241192
Mysore Road,2 BHK,883.0,2.0,1.0,60975.60975609756,2,6905505.068640721
Haralur Road,2 BHK,1243.0,2.0,2.0,56097.560975609755,2,4513078.115495555
BTM Layout,3 BHK,1776.0,2.0,3.0,91463.41463414633,3,5149967.040210942
Anjanapura,3 BHK,1347.0,2.0,1.0,46000.0,3,3414996.288047513
Whitefield,3 BHK,1330.0,2.0,2.0,67073.17073170732,3,5043095.543737392
Sector 1 HSR Layout,2 Bedroom,600.0,2.0,1.0,146341.46341463414,2,24390243.90243902
Rajaji Nagar,4 BHK,3730.0,4.0,3.0,451219.51219512196,4,12097037.860459035
Harlur,3 BHK,1459.0,3.0,2.0,164634.1463414634,3,11284040.187900165
Thanisandra,4 BHK,2259.0,5.0,2.0,164634.1463414634,4,7287921.484792537
JP Nagar,7 Bedroom,2700.0,4.0,1.0,195121.9512195122,7,7226738.934056008
Gubbalala,2 BHK,1008.0,2.0,2.0,39329.26829268293,2,3901713.1242741
NTI Layout,2 BHK,1200.0,2.0,2.0,64024.39024390244,2,5335365.853658536
Vasanth nagar,4 BHK,2328.0,4.0,1.0,643902.4390243902,4,27659039.476992704
BTM 1st Stage,7 Bedroom,600.0,7.0,3.0,134146.34146341463,7,22357723.577235773
Electronic City,2 BHK,660.0,1.0,1.0,18902.439024390245,2,2864005.912786401
Rajaji Nagar,3 BHK,1800.0,2.0,2.0,304878.0487804878,3,16937669.376693767
Rajaji Nagar,4 BHK,3100.0,4.0,3.0,670731.7073170731,4,21636506.68764752
Yelahanka,2 BHK,1405.0,2.0,0.0,61682.92682926829,2,4390243.902439024
Yelahanka,1 BHK,602.0,1.0,1.0,31707.317073170732,1,5266996.1915566
Marathahalli,3 BHK,1710.0,3.0,2.0,121951.21951219512,3,7131650.26387106
JP Nagar,3 BHK,1500.0,2.0,3.0,100000.0,3,6666666.666666667
Glass Factory Layout,3 BHK,1539.0,3.0,2.0,73170.73170731707,3,4754433.509247373
Fraser town,6 Bedroom,806.0,3.0,1.0,156097.56097560975,6,19366943.049083095
Judicial Layout,3 BHK,1100.0,2.0,1.0,64634.14634146341,3,5875831.485587583
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,1.0,59756.09756097561,2,5191667.902778072
Dasappa Layout,2 BHK,920.0,2.0,1.0,56097.560975609755,2,6097560.975609755
Kathriguppe,3 BHK,1350.0,3.0,3.0,95487.80487804877,3,7073170.731707317
Bannerghatta Road,2 BHK,1200.0,2.0,2.0,79268.29268292683,2,6605691.056910569
Thanisandra,2 BHK,1265.0,2.0,1.0,95121.9512195122,2,7519521.8355345605
Chelekare,8 Bedroom,600.0,6.0,2.0,73170.73170731707,8,12195121.95121951
Sarjapur  Road,3 BHK,1700.0,3.0,2.0,114024.39024390244,3,6707317.073170732
Ramamurthy Nagar,3 Bedroom,1600.0,3.0,0.0,91463.41463414633,3,5716463.414634146
4th T block Jayanagar,4 Bedroom,1550.0,4.0,1.0,146341.46341463414,4,9441384.73642801
R.T. Nagar,3 BHK,1560.0,3.0,3.0,152439.0243902439,3,9771732.332707942
Horamavu Agara,6 Bedroom,1000.0,5.0,3.0,119512.19512195123,6,11951219.512195121
Haralur Road,2 BHK,1243.0,2.0,2.0,56097.560975609755,2,4513078.115495555
Raja Rajeshwari Nagar,4 Bedroom,1200.0,4.0,1.0,195121.9512195122,4,16260162.601626018
Sarjapur  Road,3 BHK,1403.0,3.0,1.0,68292.68292682926,3,4867618.170123255
Doddakallasandra,2 BHK,1010.0,2.0,1.0,49256.09756097561,2,4876841.342670852
Tumkur Road,3 BHK,1416.0,3.0,1.0,114634.14634146342,3,8095631.803775664
Kanakpura Road,2 BHK,1628.0,2.0,2.0,82926.82926829268,2,5093785.58159046
Chamrajpet,4 Bedroom,1660.4,4.0,2.0,257317.07317073172,4,15497294.216497935
7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,152439.0243902439,3,9073751.45180023
Doddathoguru,3 BHK,1595.0,3.0,3.0,75609.75609756098,3,4740423.579784388
Kanakpura Road,3 BHK,1507.0,2.0,3.0,115853.65853658537,3,7687701.296389208
Hennur Road,3 BHK,1949.0,3.0,1.0,162195.1219512195,3,8321966.236594126
BTM 2nd Stage,2 Bedroom,800.0,2.0,1.0,213414.63414634147,2,26676829.268292684
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,35219.51219512195,2,3521951.219512195
Sonam Layout,2 BHK,905.0,2.0,1.0,60975.60975609756,2,6737636.437137852
Hosakerehalli,3 BHK,2480.0,3.0,2.0,298780.48780487804,3,12047600.314712824
Kaikondrahalli,3 BHK,1605.0,3.0,3.0,128048.78048780488,3,7978117.164349213
Bommanahalli,2 BHK,1290.0,2.0,1.0,89024.39024390244,2,6901115.522783134
Yelahanka,2 BHK,1100.0,2.0,1.0,73170.73170731707,2,6651884.700665188
Vishveshwarya Layout,6 BHK,2100.0,6.0,0.0,112195.12195121951,6,5342624.854819977
Electronics City Phase 1,2 BHK,995.0,2.0,1.0,60731.70731707317,2,6103689.177595293
Banashankari Stage II,2 Bedroom,500.0,2.0,1.0,67073.17073170732,2,13414634.146341464
Rajaji Nagar,4 BHK,3526.0,4.0,3.0,729268.2926829269,4,20682594.800990555
Gottigere,3 BHK,1425.0,2.0,2.0,57317.07317073171,3,4022250.7488232777
BTM 4th Stage,3 BHK,1455.0,2.0,2.0,67073.17073170732,3,4609839.912832118
Jalahalli West,1 BHK,550.0,1.0,1.0,28048.780487804877,1,5099778.270509977
Uttarahalli,3 BHK,1385.0,2.0,2.0,59121.95121951219,3,4268732.940036981
Srinivasa Nagar,5 BHK,4000.0,3.0,0.0,158536.58536585365,5,3963414.634146341
Gollahalli,2 BHK,1060.0,2.0,1.0,64634.14634146341,2,6097560.975609756
AGS Layout,3 BHK,1080.0,2.0,2.0,91463.41463414633,3,8468834.688346881
HBR Layout,3 BHK,1783.0,3.0,2.0,152439.0243902439,3,8549580.728561072
Haralur Road,3 BHK,1520.0,2.0,2.0,109756.09756097561,3,7220795.892169448
Sarjapur  Road,2 BHK,1060.0,2.0,1.0,67073.17073170732,2,6327657.616198803
Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,1.0,66280.48780487805,2,5231293.4336920325
Whitefield,2 BHK,1155.0,2.0,2.0,67073.17073170732,2,5807200.929152149
Karuna Nagar,3 Bedroom,2500.0,3.0,2.0,219512.19512195123,3,8780487.804878049
Bannerghatta Road,2 BHK,1240.0,2.0,1.0,79268.29268292683,2,6392604.248623131
Gollahalli,3 BHK,1570.0,3.0,2.0,95121.9512195122,3,6058723.007612241
NGR Layout,2 BHK,1019.0,2.0,1.0,55975.60975609756,2,5493190.358792695
Whitefield,2 BHK,1355.0,3.0,3.0,92682.9268292683,2,6840068.400684007
Arekempanahalli,3 BHK,1537.0,3.0,2.0,134146.34146341463,3,8727803.608550074
Whitefield,4 BHK,4075.0,5.0,3.0,275609.756097561,4,6763429.59748616
Raja Rajeshwari Nagar,3 BHK,1550.0,3.0,3.0,63963.41463414634,3,4126671.911880409
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,1.0,60975.60975609756,2,5543237.250554324
 Devarabeesana Halli,3 BHK,1750.0,3.0,2.0,182926.82926829267,3,10452961.672473866
9th Phase JP Nagar,2 BHK,1466.0,2.0,2.0,86585.36585365854,2,5906232.322896217
Rachenahalli,3 BHK,1550.0,3.0,2.0,88414.63414634146,3,5704169.944925255
Akshaya Nagar,3 BHK,2300.0,4.0,3.0,124390.24390243902,3,5408271.474019088
Kengeri,1 BHK,540.0,1.0,1.0,27439.024390243903,1,5081300.81300813
8th Phase JP Nagar,3 Bedroom,950.0,3.0,2.0,158536.58536585365,3,16688061.61745828
Chamundi Nagar,7 Bedroom,2800.0,7.0,1.0,304878.0487804878,7,10888501.742160277
Silk Board,2 BHK,1020.0,2.0,3.0,58536.58536585366,2,5738880.9182209475
Cunningham Road,3 BHK,2880.0,3.0,2.0,610975.6097560975,3,21214430.894308943
Hebbal,3 BHK,1987.0,4.0,2.0,201219.51219512196,3,10126799.808511423
Hoodi,2 BHK,1305.0,2.0,1.0,91463.41463414633,2,7008690.776562937
Sarjapur,4 Bedroom,2100.0,3.0,1.0,152439.0243902439,4,7259001.161440185
Electronic City,2 BHK,1125.0,2.0,1.0,39634.14634146341,2,3523035.2303523035
Horamavu Banaswadi,2 BHK,1225.0,2.0,2.0,60365.85365853659,2,4927824.788451966
Hennur,2 BHK,1255.0,2.0,1.0,67682.9268292683,2,5393061.898746477
MRCR Layout,2 BHK,1191.0,2.0,1.0,109756.09756097561,2,9215457.39386865
Uttarahalli,6 Bedroom,3600.0,6.0,2.0,369512.1951219512,6,10264227.642276423
Electronic City,2 BHK,1165.0,2.0,1.0,41024.39024390244,2,3521406.8878886215
Kacharakanahalli,2 BHK,865.0,2.0,1.0,42817.07317073171,2,4949950.655575921
Nagarbhavi,3 BHK,1850.0,2.0,2.0,107317.0731707317,3,5800922.874093605
Marsur,2 BHK,497.0,1.0,1.0,20731.70731707317,2,4171369.6815036563
Hennur Road,2 BHK,1232.0,2.0,2.0,108536.58536585367,2,8809787.773202408
Thanisandra,3 BHK,1732.0,3.0,3.0,104548.78048780488,3,6036303.723314369
Yelahanka,3 BHK,1614.0,2.0,1.0,121951.21951219512,3,7555837.640160789
Magadi Road,2 BHK,600.0,1.0,1.0,26829.268292682926,2,4471544.715447154
Thigalarapalya,3 BHK,2072.0,4.0,2.0,189024.39024390245,3,9122798.756945098
Electronic City,2 BHK,919.0,2.0,2.0,41463.41463414634,2,4511797.022213966
Shettihalli,4 Bedroom,2100.0,4.0,1.0,109756.09756097561,4,5226480.836236934
Shampura,4 BHK,672.0,3.0,1.0,65853.65853658537,4,9799651.567944251
J C Nagar,8 BHK,800.0,6.0,3.0,134146.34146341463,8,16768292.682926828
Marsur,3 Bedroom,1200.0,3.0,1.0,182926.82926829267,3,15243902.439024389
Doctors Layout,2 BHK,1000.0,2.0,2.0,51219.51219512195,2,5121951.219512194
Whitefield,2 BHK,1216.0,2.0,1.0,91463.41463414633,2,7521662.387676507
Lingadheeranahalli,4 BHK,2245.0,4.0,2.0,187804.8780487805,4,8365473.409745233
Bannerghatta Road,3 BHK,1476.0,3.0,1.0,152439.0243902439,3,10327847.180910833
Ambedkar Nagar,3 BHK,1852.0,3.0,2.0,158536.58536585365,3,8560290.786493178
Udaya Nagar,2 BHK,1225.0,2.0,2.0,57317.07317073171,2,4678944.74863116
Panathur,3 BHK,1597.0,3.0,1.0,81853.65853658537,3,5125463.903355377
Jakkur,3 BHK,2423.0,4.0,3.0,195121.9512195122,3,8052907.602951392
Marathahalli,2 BHK,1152.0,2.0,1.0,109756.09756097561,2,9527439.024390243
Harlur,3 BHK,1762.0,3.0,2.0,162195.1219512195,3,9205171.506879654
Kammasandra,3 Bedroom,1400.0,3.0,2.0,112195.12195121951,3,8013937.282229965
Rachenahalli,3 BHK,1530.0,2.0,2.0,90731.70731707319,3,5930176.9488283135
New Thippasandra,6 Bedroom,2400.0,6.0,3.0,487804.8780487805,6,20325203.252032522
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,48987.80487804878,2,4133991.9728311207
Yelahanka,3 BHK,1890.0,3.0,2.0,131707.31707317074,3,6968641.114982579
Varthur Road,3 BHK,1247.0,2.0,2.0,70731.70731707317,3,5672149.744753262
HRBR Layout,6 Bedroom,1000.0,6.0,3.0,335365.85365853657,6,33536585.365853656
Bellandur,2 BHK,1201.0,2.0,2.0,73158.53658536586,2,6091468.491704068
Gunjur Palya,2 BHK,830.0,2.0,2.0,48780.48780487805,2,5877167.205406995
Electronic City Phase II,2 BHK,1165.0,2.0,1.0,36939.0243902439,2,3170731.7073170734
Bommanahalli,2 BHK,1100.0,1.0,2.0,67073.17073170732,2,6097560.975609756
Maithri Layout,3 BHK,1685.0,3.0,2.0,73170.73170731707,3,4342476.659187957
Sarakki Nagar,4 BHK,3131.0,4.0,3.0,425609.756097561,4,13593412.84246442
Battarahalli,2 BHK,1165.0,2.0,1.0,52439.0243902439,2,4501203.810321365
Kachanayakanahalli,2 BHK,827.0,2.0,1.0,54878.04878048781,2,6635797.917834075
Gangondanahalli,3 Bedroom,396.0,2.0,0.0,58536.58536585366,3,14781966.001478197
Uttarahalli,4 Bedroom,1200.0,4.0,3.0,218292.68292682926,4,18191056.910569105
Electronics City Phase 1,1 BHK,635.0,1.0,0.0,31707.317073170732,1,4993278.279239486
Whitefield,4 Bedroom,4000.0,4.0,3.0,463414.6341463415,4,11585365.853658536
Vishwanatha Nagenahalli,2 BHK,1050.0,2.0,1.0,60975.60975609756,2,5807200.929152149
